Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WASH7P,583.270054646508,-1.84359934144795,0.247248170924776,-7.45647312395634,0.0000000000000888692134062822,0.000000000000402832177935433
MIR6859-1,14.8031111416595,-1.62006820086207,0.908449143937203,-1.78333395069396,0.0745319579355011,0.101151529214666
RP11-34P13.15,38.8487459583638,0.217436907482696,0.454670146449392,0.478230007359628,0.63248650708657,0.684561914846999
RP11-34P13.16,26.670884345261,0.586473089011974,0.480998488379509,1.21928260312795,0.222736949255467,0.273168440384734
RP11-34P13.13,11.0340278919071,1.91633400963351,0.630502854432939,3.03937404273455,0.00237070312858285,0.004058267429866
FO538757.1,217.661521669393,-1.21913189749971,0.303125687214509,-4.02186930676378,0.0000577380932002603,0.000121467176227105
AP006222.2,18.3252133628481,-1.28601583518626,0.623141150231638,-2.06376329778288,0.0390401645298002,0.0556682859987629
RP4-669L17.10,40.3535306522328,1.11011932584814,0.470436787440592,2.35976300214049,0.0182866134428838,0.0275190286620346
MTND1P23,204.793862395502,-1.63210336468389,0.284657215910897,-5.73357453617044,0.00000000983358220237527,0.0000000302852728935417
MTND2P28,530.496369791283,-1.5460214927093,0.345259149108214,-4.47785814424495,0.00000753956722317459,0.0000175106962352727
MTCO1P12,4673.39172296605,-1.10151723625874,0.23331323678516,-4.72119478275913,0.00000234463267598853,0.00000573714272906175
MTCO2P12,1082.29502909889,-0.338649102926441,0.282724169043996,-1.19780740384365,0.230992004192676,0.282350061225362
MTATP8P1,47.3606714879595,-0.151850511916861,0.267179110320835,-0.568347247412102,0.569799202939238,0.625804103465221
MTATP6P1,12118.3962092149,-0.730777628663907,0.244932838991128,-2.98358371084074,0.00284894092095446,0.00482921661638841
MTCO3P12,804.910889070544,-0.0473654805805937,0.296560901422506,-0.159715863936874,0.873104903713218,0.899574141438206
RP11-206L10.2,90.8774270040184,0.152648599801458,0.366486047134273,0.41651954008915,0.677029871992897,0.72528023998424
RP11-206L10.9,24.2538167973031,-1.2622508698983,0.630986179924988,-2.00044138850768,0.0454526229448928,0.0641848868345077
LINC01128,445.593636337968,-1.37164773504963,0.315649250210696,-4.34548073259813,0.0000138970970536952,0.0000314033129498612
LINC00115,26.8778913864137,-0.38873339889781,0.599309937697051,-0.648634995761264,0.516574329886374,0.574393779771903
RP11-54O7.16,38.4154559644391,1.97681996507992,1.08152244308676,1.82781224533622,0.06757773479918,0.092492346759865
RP11-54O7.1,175.418306585155,1.87944890176614,0.819951669754616,2.29214595334454,0.0218972224490567,0.0325411753376768
RP11-54O7.2,9.6318814296211,1.24651280374646,1.42878557747279,0.872428181946845,0.382974831763443,0.442812424959487
RP11-54O7.3,250.621478107974,3.86436945363802,1.02382742299742,3.77443440841277,0.000160371095192651,0.000320246243787855
SAMD11,455.600201075642,3.5988073487151,0.767055261550755,4.6917184838018,0.00000270919745338018,0.00000658270108712408
NOC2L,3860.46116253892,1.15126969577572,0.154613439206941,7.44611659685555,0.0000000000000961278558642752,0.000000000000434717419484686
KLHL17,461.924554049485,0.032210269115979,0.428246670863681,0.0752142895845936,0.940044215115532,0.956015949023857
PLEKHN1,25.8004973708787,-1.45795093895548,0.509292621494985,-2.86269794106931,0.00420050797125408,0.00696782067254034
RP11-54O7.17,150.880737716983,-1.56896282953277,0.972912130822477,-1.61264597267012,0.106821444548145,0.140267325725685
HES4,2185.3596407722,-1.57713596491141,0.61805031612843,-2.55179218221399,0.0107170421909886,0.0167352668948979
ISG15,559.412450435296,-2.05315818143706,0.327286658777994,-6.27327184402514,0.000000000353538846696237,0.00000000122796402351265
RP11-54O7.11,11.533869140935,-2.39882417417929,1.05403602764994,-2.27584647132762,0.022855200227968,0.033877397165955
AGRN,14292.9959091451,4.4807273700051,0.200167068382957,22.3849377732436,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000551824731391173,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000150754271810442
RP11-465B22.3,64.0897759371275,-1.02820507191567,0.477485123359735,-2.15337614014212,0.0312891292086793,0.0453071523720949
C1orf159,433.923324294908,-0.364262945926338,0.288539869399499,-1.26243540168099,0.206792157228833,0.255303249037613
TNFRSF18,66.1748510617522,-5.24254808169849,0.619403698200336,-8.46386306205566,0.000000000000000025866351864997,0.000000000000000151925604159653
TNFRSF4,70.1816791277309,-7.52665918292156,0.946001933312489,-7.95628308767453,0.00000000000000177284518240478,0.00000000000000904418434088182
SDF4,4803.7081488333,-1.34037101788361,0.205806951733859,-6.51275871194539,0.000000000073782981365924,0.000000000270516440111231
B3GALT6,1704.79487034189,-0.89968803388633,0.261587379210126,-3.43934037109503,0.000583133567441913,0.00108287522340913
FAM132A,61.0191753742358,0.50269634068766,0.617046038496056,0.814682064749814,0.415254322231885,0.475478471383087
UBE2J2,2275.63022608153,-0.254659788032054,0.135645646357217,-1.87739005910605,0.06046465296373,0.0835185901344476
RP5-902P8.10,14.4402723001612,0.748805213481906,0.955975056453738,0.783289489016226,0.433457134193861,0.493352103009132
SCNN1D,121.380545490712,-0.198750073955558,0.569008419082185,-0.34929197405575,0.726870123249582,0.769716493472155
ACAP3,2447.06316273897,-1.36991634794601,0.377113527362578,-3.63263645705527,0.000280540133456934,0.00054325969682241
PUSL1,617.579001860854,1.3430509416431,0.19771485823222,6.79286804062881,0.0000000000109925922452729,0.0000000000429327617585266
CPSF3L,3224.56200684222,-0.0641307493242966,0.141129296089256,-0.454411317149471,0.649532808333012,0.699848036242512
